Jmin,n,l,a,actfn
0.07895870506763458,1,4,15.707963267948966,sigmoid
0.07896525412797926,2,4,15.707963267948966,sigmoid
0.07905927300453186,4,4,15.707963267948966,sigmoid
0.07929098606109619,8,4,15.707963267948966,sigmoid
0.07917258143424988,16,4,15.707963267948966,sigmoid
0.0801624283194542,32,4,15.707963267948966,sigmoid
0.0799190104007721,64,4,15.707963267948966,sigmoid
0.08187094330787657,128,4,15.707963267948966,sigmoid
0.07961513102054597,256,4,15.707963267948966,sigmoid
0.07897816598415375,1,8,15.707963267948966,sigmoid
0.0789993330836296,2,8,15.707963267948966,sigmoid
0.07916979491710663,4,8,15.707963267948966,sigmoid
0.0790141001343727,8,8,15.707963267948966,sigmoid
0.07941286265850067,16,8,15.707963267948966,sigmoid
0.07962030917406082,32,8,15.707963267948966,sigmoid
0.07997962832450865,64,8,15.707963267948966,sigmoid
0.08103244006633759,128,8,15.707963267948966,sigmoid
0.08257754147052765,256,8,15.707963267948966,sigmoid
0.07902060449123383,1,16,15.707963267948966,sigmoid
0.07896324247121811,2,16,15.707963267948966,sigmoid
0.07900093495845793,4,16,15.707963267948966,sigmoid
0.07903996855020523,8,16,15.707963267948966,sigmoid
0.07938123494386673,16,16,15.707963267948966,sigmoid
0.07988055050373077,32,16,15.707963267948966,sigmoid
0.07969880849123001,64,16,15.707963267948966,sigmoid
0.08221243321895598,128,16,15.707963267948966,sigmoid
0.08468468487262726,256,16,15.707963267948966,sigmoid
0.07896216213703156,1,32,15.707963267948966,sigmoid
0.07896333932876587,2,32,15.707963267948966,sigmoid
0.07900313287973405,4,32,15.707963267948966,sigmoid
0.07938966155052185,8,32,15.707963267948966,sigmoid
0.07928422838449478,16,32,15.707963267948966,sigmoid
0.08045567572116852,32,32,15.707963267948966,sigmoid
0.07937400788068771,64,32,15.707963267948966,sigmoid
0.07986256480216981,128,32,15.707963267948966,sigmoid
0.07971487939357756,256,32,15.707963267948966,sigmoid
0.07899445295333862,1,64,15.707963267948966,sigmoid
0.07895387709140778,2,64,15.707963267948966,sigmoid
0.07910466939210892,4,64,15.707963267948966,sigmoid
0.07899288833141328,8,64,15.707963267948966,sigmoid
0.07915977388620377,16,64,15.707963267948966,sigmoid
0.08034714311361311,32,64,15.707963267948966,sigmoid
0.07965058833360672,64,64,15.707963267948966,sigmoid
0.08039477467536926,128,64,15.707963267948966,sigmoid
0.08020013570785521,256,64,15.707963267948966,sigmoid
0.05585174635052681,1,1,31.41592653589793,tanh
0.05586347356438637,2,1,31.41592653589793,tanh
0.055918585509061806,4,1,31.41592653589793,tanh
0.05590172857046127,8,1,31.41592653589793,tanh
0.056005392223596566,16,1,31.41592653589793,tanh
0.056127898395061486,32,1,31.41592653589793,tanh
0.05609578639268875,64,1,31.41592653589793,tanh
0.05594571679830551,128,1,31.41592653589793,tanh
0.05589723214507103,256,1,31.41592653589793,tanh
0.0559435710310936,1,2,31.41592653589793,tanh
0.055941566824913025,2,2,31.41592653589793,tanh
0.05598255991935729,4,2,31.41592653589793,tanh
0.05592693760991096,8,2,31.41592653589793,tanh
0.05602635070681572,16,2,31.41592653589793,tanh
0.05605577677488327,32,2,31.41592653589793,tanh
0.055976856499910355,64,2,31.41592653589793,tanh
0.055887222290039056,128,2,31.41592653589793,tanh
0.055915303528308875,256,2,31.41592653589793,tanh
0.05589651316404343,1,4,31.41592653589793,tanh
0.055905655026435845,2,4,31.41592653589793,tanh
0.05586057528853416,4,4,31.41592653589793,tanh
0.05598104745149613,8,4,31.41592653589793,tanh
0.05595322698354721,16,4,31.41592653589793,tanh
0.055962443351745605,32,4,31.41592653589793,tanh
0.05601136386394501,64,4,31.41592653589793,tanh
0.05586785823106766,128,4,31.41592653589793,tanh
0.05601319670677185,256,4,31.41592653589793,tanh
0.05586519837379456,1,8,31.41592653589793,tanh
0.05591229721903801,2,8,31.41592653589793,tanh
0.05587140098214149,4,8,31.41592653589793,tanh
0.05590496584773064,8,8,31.41592653589793,tanh
0.055909253656864166,16,8,31.41592653589793,tanh
0.0558844618499279,32,8,31.41592653589793,tanh
0.05592124536633492,64,8,31.41592653589793,tanh
0.05601785331964493,128,8,31.41592653589793,tanh
0.05601788312196732,256,8,31.41592653589793,tanh
0.05588097497820854,1,16,31.41592653589793,tanh
0.05586976557970047,2,16,31.41592653589793,tanh
0.05594347044825554,4,16,31.41592653589793,tanh
0.055887341499328606,8,16,31.41592653589793,tanh
0.056004192680120475,16,16,31.41592653589793,tanh
0.05593566223978996,32,16,31.41592653589793,tanh
0.05609503760933876,64,16,31.41592653589793,tanh
0.05620650202035904,128,16,31.41592653589793,tanh
0.05616069957613945,256,16,31.41592653589793,tanh
0.05586634576320648,1,32,31.41592653589793,tanh
0.055883023887872696,2,32,31.41592653589793,tanh
0.055888645350933075,4,32,31.41592653589793,tanh
0.05544700101017952,8,32,31.41592653589793,tanh
0.055937930941581726,16,32,31.41592653589793,tanh
0.055952228605747216,32,32,31.41592653589793,tanh
0.056065700948238366,64,32,31.41592653589793,tanh
0.05611784756183624,128,32,31.41592653589793,tanh
0.05871003493666649,256,32,31.41592653589793,tanh
0.05590520799160004,1,64,31.41592653589793,tanh
0.05588279664516449,2,64,31.41592653589793,tanh
0.055910300463438034,4,64,31.41592653589793,tanh
0.05586064979434013,8,64,31.41592653589793,tanh
0.05597728118300438,16,64,31.41592653589793,tanh
0.05592495948076248,32,64,31.41592653589793,tanh
0.05619238317012786,64,64,31.41592653589793,tanh
0.0566420815885067,128,64,31.41592653589793,tanh
0.057033613324165344,256,64,31.41592653589793,tanh
0.056094393134117126,1,1,31.41592653589793,relu
0.05586349219083785,2,1,31.41592653589793,relu
0.05586733669042587,4,1,31.41592653589793,relu
0.053078379482030875,8,1,31.41592653589793,relu
0.0519145205616951,16,1,31.41592653589793,relu
0.053439944982528687,32,1,31.41592653589793,relu
0.04960636422038078,64,1,31.41592653589793,relu
0.04567464068531991,128,1,31.41592653589793,relu
0.03844810649752617,256,1,31.41592653589793,relu
0.05588380992412567,1,2,31.41592653589793,relu
